  4.5745	               5316.05                           142.7572638   
  4.58	                 5225.3                           347.9414929   
  4.59	                 4694.92                          347.5567529   
  4.59953	               5225.67                            40.95419037   
  4.61186	               4956.2                           96.86904877   
  4.628	                 5009.11                        42.94885288   
  4.64091	               4856.77                           41.65420651   
  4.66124	               5332.49                            42.92560531   
  4.68192	               5582.85                           23.89781445   
  4.69882	               5765.96                            43.27294698   
  4.7397	               5219.62                           77.25282045   
  4.75005	               5292.61                            51.77483736   
  4.78054	               5156.43                            43.55463067   
  4.84307	               4639.4                           42.30129502   
  4.91802	               4644.57                            66.72157729   
  4.95093	               4639.39                            76.8957579   
