          path                                                              c0                 c1              fsig                 mean1             mean2              nbkg              nsig            sigma1            sigma2    
        mass_fit_mc_mode401_momentum_costheta_063.cpp.sh.out        5.0805e-01        -1.3240e+00        3.5772e-01        1.9693e+00        1.9687e+00        4.3085e+01        5.4793e+02        2.7937e-03        5.4629e-03
        mass_fit_mc_mode401_momentum_costheta_064.cpp.sh.out        5.7987e-01        -1.9349e-01        7.2645e-01        1.9685e+00        1.9685e+00        1.5069e+01        5.4588e+02        3.7123e-03        8.2375e-03
        mass_fit_mc_mode401_momentum_costheta_065.cpp.sh.out        7.4547e-03        -6.8663e-01        1.5792e-01        1.9663e+00        1.9688e+00        4.8445e+01        5.1759e+02        2.2676e-03        5.1751e-03
        mass_fit_mc_mode401_momentum_costheta_066.cpp.sh.out        1.7261e-01        -7.5050e-01        2.5770e-01        1.9683e+00        1.9687e+00        4.8350e+01        4.8266e+02        2.3136e-03        5.4908e-03
        mass_fit_mc_mode401_momentum_costheta_067.cpp.sh.out        6.2511e-01        -1.4986e+00        1.9717e-01        1.9686e+00        1.9687e+00        5.6982e+01        4.5602e+02        2.4204e-03        5.5421e-03
        mass_fit_mc_mode401_momentum_costheta_068.cpp.sh.out        2.2380e-01        -1.0040e+00        3.8747e-02        1.9707e+00        1.9688e+00        6.7460e+01        4.4658e+02        1.1163e-03        4.9539e-03
        mass_fit_mc_mode401_momentum_costheta_069.cpp.sh.out        -8.7053e-01        -1.1868e+00        3.4353e-01        1.9686e+00        1.9684e+00        3.6515e+01        4.6849e+02        3.1889e-03        6.2890e-03
        mass_fit_mc_mode401_momentum_costheta_070.cpp.sh.out        -9.4540e-01        -1.7016e+00        2.2444e-02        1.9670e+00        1.9693e+00        7.4470e+01        4.0555e+02        4.4383e-04        4.5011e-03
        mass_fit_mc_mode401_momentum_costheta_071.cpp.sh.out        -4.0055e-01        -2.0000e+00        9.4618e-01        1.9692e+00        1.9634e+00        5.4785e+01        4.3322e+02        5.2866e-03        9.9144e-04
        mass_fit_mc_mode401_momentum_costheta_072.cpp.sh.out        -1.2145e-02        -8.0650e-01        3.5463e-02        1.9700e+00        1.9689e+00        4.7649e+01        4.5226e+02        1.4444e-03        5.3293e-03
        mass_fit_mc_mode401_momentum_costheta_073.cpp.sh.out        -1.4523e-01        -1.0128e+00        1.0066e-01        1.9727e+00        1.9681e+00        4.6716e+01        4.4223e+02        2.0849e-03        5.7303e-03
        mass_fit_mc_mode401_momentum_costheta_074.cpp.sh.out        -1.1764e-01        9.3866e-02        5.8441e-01        1.9686e+00        1.9695e+00        2.5884e+01        4.6416e+02        4.0194e-03        7.9415e-03
        mass_fit_mc_mode401_momentum_costheta_075.cpp.sh.out        3.3249e-02        -4.4599e-01        5.7121e-02        1.9659e+00        1.9690e+00        2.9813e+01        4.0719e+02        9.0955e-04        6.0626e-03
        mass_fit_mc_mode401_momentum_costheta_076.cpp.sh.out        -1.1671e-01        -1.9158e+00        4.0082e-01        1.9685e+00        1.9683e+00        7.9182e+01        7.6281e+02        2.6548e-03        4.7664e-03
        mass_fit_mc_mode401_momentum_costheta_077.cpp.sh.out        -1.8631e+00        -3.0000e+00        6.5069e-02        1.9679e+00        1.9684e+00        7.2035e+01        7.2298e+02        8.5494e-04        4.0809e-03
        mass_fit_mc_mode401_momentum_costheta_078.cpp.sh.out        1.4594e-01        -5.3568e-01        7.0659e-01        1.9685e+00        1.9674e+00        2.1575e+01        7.9053e+02        3.3008e-03        6.9034e-03
        mass_fit_mc_mode401_momentum_costheta_079.cpp.sh.out        4.6470e-01        -5.1924e-01        6.9966e-01        1.9684e+00        1.9680e+00        2.3862e+01        7.2113e+02        3.3630e-03        7.4180e-03
