          path                                                              c0                 c1              fsig                 mean1             mean2              nbkg              nsig            sigma1            sigma2    
        mass_fit_mc_mode401_momentum_costheta_041.cpp.sh.out        1.4567e-01        -7.8589e-01        4.8861e-02        1.9704e+00        1.9684e+00        4.8862e+01        4.7814e+02        8.2637e-04        5.1509e-03
        mass_fit_mc_mode401_momentum_costheta_042.cpp.sh.out        -5.7133e-01        -2.2022e+00        6.4635e-02        1.9660e+00        1.9696e+00        9.0178e+01        4.3784e+02        1.0058e-03        4.2613e-03
        mass_fit_mc_mode401_momentum_costheta_043.cpp.sh.out        4.3066e-01        -1.1288e+00        5.2177e-01        1.9668e+00        1.9701e+00        4.1897e+01        4.3010e+02        5.8372e-03        3.0761e-03
        mass_fit_mc_mode401_momentum_costheta_044.cpp.sh.out        1.2100e-01        -9.3372e-01        2.5931e-02        1.9674e+00        1.9688e+00        5.6619e+01        3.9839e+02        3.4240e-04        4.8745e-03
        mass_fit_mc_mode401_momentum_costheta_045.cpp.sh.out        -4.1228e-03        -7.6243e-01        1.0983e-01        1.9688e+00        1.9688e+00        6.0817e+01        3.7718e+02        2.5436e-03        5.3858e-03
        mass_fit_mc_mode401_momentum_costheta_046.cpp.sh.out        7.4547e-02        1.1449e-02        3.3702e-01        1.9698e+00        1.9690e+00        3.5859e+01        3.6315e+02        2.9989e-03        6.7939e-03
        mass_fit_mc_mode401_momentum_costheta_047.cpp.sh.out        2.3723e-01        -1.0032e+00        7.6701e-02        1.9678e+00        1.9684e+00        3.3258e+01        3.7778e+02        6.5851e-04        6.1047e-03
        mass_fit_mc_mode401_momentum_costheta_048.cpp.sh.out        1.8119e-01        -7.6390e-01        2.3617e-02        1.9698e+00        1.9691e+00        5.9591e+01        3.1741e+02        1.1695e-03        5.7245e-03
        mass_fit_mc_mode401_momentum_costheta_049.cpp.sh.out        5.8308e-01        -1.4187e+00        1.8093e-01        1.9729e+00        1.9681e+00        1.0107e+02        3.0698e+02        2.8343e-03        4.6597e-03
        mass_fit_mc_mode401_momentum_costheta_050.cpp.sh.out        -2.1393e-01        -4.7998e-01        2.6128e-02        1.9677e+00        1.9690e+00        5.2743e+01        3.3525e+02        1.0681e-04        5.5076e-03
        mass_fit_mc_mode401_momentum_costheta_051.cpp.sh.out        6.9671e-02        -5.2099e-01        4.9934e-01        1.9688e+00        1.9684e+00        5.8599e+01        8.9639e+02        2.6925e-03        5.5179e-03
        mass_fit_mc_mode401_momentum_costheta_052.cpp.sh.out        2.1610e-01        -5.5563e-01        7.0714e-01        1.9683e+00        1.9694e+00        5.4493e+01        8.7859e+02        3.0785e-03        6.4206e-03
        mass_fit_mc_mode401_momentum_costheta_053.cpp.sh.out        -2.7655e-01        -9.9571e-02        7.9148e-01        1.9686e+00        1.9676e+00        3.6436e+01        8.8469e+02        3.6201e-03        7.9866e-03
        mass_fit_mc_mode401_momentum_costheta_054.cpp.sh.out        -3.3757e-01        -1.1826e+00        6.3746e-02        1.9688e+00        1.9684e+00        9.1202e+01        7.8679e+02        9.0258e-04        4.1526e-03
        mass_fit_mc_mode401_momentum_costheta_055.cpp.sh.out        -7.1865e-02        1.7811e-01        6.3247e-01        1.9683e+00        1.9685e+00        2.7838e+01        8.4220e+02        3.0471e-03        6.9354e-03
        mass_fit_mc_mode401_momentum_costheta_056.cpp.sh.out        -1.3153e-02        -1.2052e+00        8.4345e-01        1.9691e+00        1.9684e+00        6.8943e+01        7.5009e+02        3.7113e-03        7.4897e-03
        mass_fit_mc_mode401_momentum_costheta_057.cpp.sh.out        5.4976e-01        -2.0000e+00        8.5374e-02        1.9685e+00        1.9684e+00        8.0563e+01        7.2647e+02        6.3768e-04        4.2430e-03
        mass_fit_mc_mode401_momentum_costheta_058.cpp.sh.out        5.8388e-01        9.5261e-01        9.0255e-01        1.9686e+00        1.9638e+00        1.8595e+01        7.8331e+02        4.0201e-03        1.2780e-02
        mass_fit_mc_mode401_momentum_costheta_059.cpp.sh.out        -2.7367e-01        -1.5560e-01        4.6233e-01        1.9687e+00        1.9684e+00        4.3099e+01        7.3384e+02        2.9730e-03        6.1314e-03
        mass_fit_mc_mode401_momentum_costheta_060.cpp.sh.out        -3.5601e-01        -8.4990e-01        6.9739e-01        1.9686e+00        1.9697e+00        6.1046e+01        6.8706e+02        3.4970e-03        6.6336e-03
        mass_fit_mc_mode401_momentum_costheta_061.cpp.sh.out        7.3788e-01        -1.6649e+00        3.9838e-02        1.9713e+00        1.9683e+00        8.8979e+01        6.4202e+02        4.3195e-04        4.1805e-03
        mass_fit_mc_mode401_momentum_costheta_062.cpp.sh.out        1.6890e-01        -4.7949e-01        4.2416e-01        1.9692e+00        1.9683e+00        5.5293e+01        6.2164e+02        3.5270e-03        5.3929e-03
        mass_fit_mc_mode401_momentum_costheta_063.cpp.sh.out        -6.5726e-02        -5.8443e-01        3.8139e-01        1.9693e+00        1.9686e+00        4.7871e+01        6.3908e+02        2.9097e-03        5.5981e-03
        mass_fit_mc_mode401_momentum_costheta_064.cpp.sh.out        6.0084e-01        9.1839e-01        7.1494e-01        1.9686e+00        1.9680e+00        1.0413e+01        6.3764e+02        3.6218e-03        8.6733e-03
        mass_fit_mc_mode401_momentum_costheta_065.cpp.sh.out        2.7162e-02        -6.4818e-01        1.7894e-01        1.9666e+00        1.9689e+00        5.4677e+01        5.8333e+02        2.2852e-03        5.3073e-03
        mass_fit_mc_mode401_momentum_costheta_066.cpp.sh.out        9.4066e-02        -5.8740e-01        3.2929e-01        1.9684e+00        1.9686e+00        5.2625e+01        5.6836e+02        2.6024e-03        5.8624e-03
        mass_fit_mc_mode401_momentum_costheta_067.cpp.sh.out        1.5110e-01        -5.5502e-01        2.4216e-02        1.9824e+00        1.9686e+00        6.5761e+01        5.3916e+02        1.6694e-03        4.7631e-03
        mass_fit_mc_mode401_momentum_costheta_068.cpp.sh.out        2.3961e-01        -1.0629e+00        6.8985e-02        1.9698e+00        1.9688e+00        9.0924e+01        4.9015e+02        1.7348e-03        4.9471e-03
        mass_fit_mc_mode401_momentum_costheta_069.cpp.sh.out        -5.9720e-01        -6.5152e-01        4.6879e-01        1.9685e+00        1.9684e+00        4.2750e+01        5.3828e+02        3.4401e-03        6.8187e-03
        mass_fit_mc_mode401_momentum_costheta_070.cpp.sh.out        -9.3011e-01        -1.5294e+00        4.9203e-02        1.9724e+00        1.9689e+00        7.7538e+01        4.7046e+02        8.3561e-04        4.6466e-03
        mass_fit_mc_mode401_momentum_costheta_071.cpp.sh.out        -6.5681e-02        -1.9963e+00        5.7579e-02        1.9634e+00        1.9693e+00        7.7812e+01        4.7826e+02        1.0442e-03        5.1662e-03
        mass_fit_mc_mode401_momentum_costheta_072.cpp.sh.out        2.7698e-01        9.5184e-01        8.1060e-01        1.9689e+00        1.9685e+00        6.6003e+00        5.6040e+02        4.8546e-03        1.4051e-02
        mass_fit_mc_mode401_momentum_costheta_073.cpp.sh.out        -3.4448e-02        -1.0285e+00        7.4700e-01        1.9705e+00        1.9634e+00        5.7195e+01        5.0279e+02        4.7128e-03        4.7620e-03
        mass_fit_mc_mode401_momentum_costheta_074.cpp.sh.out        -2.4143e-01        -1.3230e-01        4.9665e-01        1.9684e+00        1.9696e+00        3.3245e+01        5.1676e+02        3.8873e-03        7.6126e-03
        mass_fit_mc_mode401_momentum_costheta_075.cpp.sh.out        7.9338e-01        9.1377e-01        5.9059e-01        1.9690e+00        1.9680e+00        6.8779e+00        4.8812e+02        4.3500e-03        9.3361e-03
        mass_fit_mc_mode401_momentum_costheta_076.cpp.sh.out        -4.3894e-02        -2.1674e+00        4.8120e-01        1.9685e+00        1.9682e+00        1.0774e+02        8.5515e+02        2.9662e-03        4.7184e-03
        mass_fit_mc_mode401_momentum_costheta_077.cpp.sh.out        -1.8176e+00        -3.0000e+00        7.5122e-01        1.9676e+00        1.9709e+00        1.0141e+02        8.3554e+02        3.5701e-03        4.1948e-03
        mass_fit_mc_mode401_momentum_costheta_078.cpp.sh.out        -2.4826e-02        -1.1220e-01        7.0508e-01        1.9684e+00        1.9682e+00        2.9795e+01        9.0908e+02        3.2875e-03        6.9699e-03
        mass_fit_mc_mode401_momentum_costheta_079.cpp.sh.out        9.9964e-01        -9.2457e-02        7.8275e-01        1.9685e+00        1.9672e+00        1.8706e+01        8.4627e+02        3.6232e-03        9.9311e-03
        mass_fit_mc_mode401_momentum_costheta_080.cpp.sh.out        -8.7615e-02        -8.1438e-01        7.8766e-02        1.9697e+00        1.9683e+00        1.1106e+02        7.7696e+02        1.1167e-03        4.0711e-03
        mass_fit_mc_mode401_momentum_costheta_081.cpp.sh.out        -1.6726e-01        -4.9381e-01        6.4738e-01        1.9688e+00        1.9683e+00        6.1418e+01        7.8859e+02        3.1444e-03        7.3182e-03
        mass_fit_mc_mode401_momentum_costheta_082.cpp.sh.out        -5.2780e-01        -1.4703e+00        7.3696e-01        1.9685e+00        1.9687e+00        8.1947e+01        7.6811e+02        3.6530e-03        5.9826e-03
        mass_fit_mc_mode401_momentum_costheta_083.cpp.sh.out        2.5857e-01        -1.3364e+00        2.6612e-02        1.9786e+00        1.9686e+00        7.4769e+01        7.3323e+02        2.9151e-03        3.9706e-03
        mass_fit_mc_mode401_momentum_costheta_084.cpp.sh.out        2.5397e-02        -1.0758e+00        5.8440e-02        1.9682e+00        1.9688e+00        8.2645e+01        7.2738e+02        1.0289e-03        4.3167e-03
        mass_fit_mc_mode401_momentum_costheta_085.cpp.sh.out        2.7744e-01        -1.1226e-01        1.8771e-01        1.9683e+00        1.9688e+00        2.8228e+01        7.3470e+02        9.5372e-03        3.6697e-03
        mass_fit_mc_mode401_momentum_costheta_086.cpp.sh.out        -2.2972e-01        -2.5000e+00        1.0869e-02        1.9840e+00        1.9686e+00        1.1036e+02        6.6056e+02        1.1320e-03        3.9225e-03
        mass_fit_mc_mode401_momentum_costheta_087.cpp.sh.out        -6.0564e-01        9.4353e-01        8.1653e-01        1.9688e+00        1.9705e+00        6.8695e+00        7.5212e+02        3.9195e-03        1.1988e-02
        mass_fit_mc_mode401_momentum_costheta_088.cpp.sh.out        1.3289e-01        -8.4628e-01        4.2298e-01        1.9689e+00        1.9689e+00        6.0448e+01        6.6254e+02        2.6138e-03        5.9078e-03
        mass_fit_mc_mode401_momentum_costheta_089.cpp.sh.out        -2.5881e-01        5.0314e-01        3.0563e-01        1.9685e+00        1.9689e+00        2.3795e+01        6.6723e+02        8.8864e-03        3.7317e-03
        mass_fit_mc_mode401_momentum_costheta_090.cpp.sh.out        -3.0400e-02        -1.3074e+00        6.3732e-01        1.9690e+00        1.9678e+00        6.7191e+01        6.3171e+02        3.7760e-03        6.9080e-03
        mass_fit_mc_mode401_momentum_costheta_091.cpp.sh.out        -2.0906e-01        -1.0274e+00        2.8505e-02        1.9640e+00        1.9690e+00        9.0649e+01        6.1437e+02        5.2462e-04        4.7947e-03
        mass_fit_mc_mode401_momentum_costheta_092.cpp.sh.out        6.1975e-02        -5.7170e-01        1.6357e-01        1.9705e+00        1.9679e+00        7.1032e+01        6.0097e+02        2.4665e-03        5.1540e-03
        mass_fit_mc_mode401_momentum_costheta_093.cpp.sh.out        3.7362e-01        -7.6759e-01        2.4974e-02        1.9683e+00        1.9685e+00        8.1679e+01        5.6332e+02        6.6372e-05        5.0114e-03
        mass_fit_mc_mode401_momentum_costheta_094.cpp.sh.out        -8.0048e-02        -5.8801e-01        7.8894e-02        1.9698e+00        1.9688e+00        5.5537e+01        6.0651e+02        1.3299e-03        5.8322e-03
        mass_fit_mc_mode401_momentum_costheta_095.cpp.sh.out        8.5292e-02        -2.0000e+00        6.5582e-02        1.9652e+00        1.9694e+00        8.9761e+01        5.6523e+02        6.1495e-04        4.9192e-03
        mass_fit_mc_mode401_momentum_costheta_096.cpp.sh.out        -4.5670e-01        -1.8658e+00        1.7614e-02        1.9791e+00        1.9688e+00        1.0928e+02        5.7172e+02        4.2799e-04        4.7651e-03
        mass_fit_mc_mode401_momentum_costheta_097.cpp.sh.out        5.4299e-01        -4.0168e-01        6.5622e-01        1.9688e+00        1.9681e+00        4.6530e+01        5.6743e+02        4.3690e-03        7.8189e-03
        mass_fit_mc_mode401_momentum_costheta_098.cpp.sh.out        4.7908e-03        2.8204e-01        9.6552e-01        1.9692e+00        1.9582e+00        3.4195e+01        5.8881e+02        5.3249e-03        3.4046e-03
        mass_fit_mc_mode401_momentum_costheta_099.cpp.sh.out        -3.5337e-01        -8.8020e-02        3.5962e-01        1.9647e+00        1.9706e+00        4.2548e+01        5.9246e+02        6.0360e-03        4.7132e-03
        mass_fit_mc_mode401_momentum_costheta_100.cpp.sh.out        -2.6326e-01        -4.4051e-01        3.7789e-02        1.9747e+00        1.9679e+00        6.7679e+01        5.0528e+02        2.1211e-03        5.7322e-03
        mass_fit_mc_mode401_momentum_costheta_101.cpp.sh.out        3.9356e-03        -6.7171e-01        5.2634e-01        1.9680e+00        1.9686e+00        5.9646e+01        8.7723e+02        2.6715e-03        6.0054e-03
        mass_fit_mc_mode401_momentum_costheta_102.cpp.sh.out        6.2000e-01        -4.6059e-01        7.8458e-01        1.9680e+00        1.9690e+00        4.7501e+01        8.9145e+02        3.3731e-03        7.3986e-03
        mass_fit_mc_mode401_momentum_costheta_103.cpp.sh.out        -2.2299e-01        -3.1349e-01        4.2626e-01        1.9689e+00        1.9683e+00        5.7836e+01        8.4707e+02        2.7887e-03        5.2409e-03
        mass_fit_mc_mode401_momentum_costheta_104.cpp.sh.out        -5.3428e-02        -7.5378e-01        1.2250e-01        1.9682e+00        1.9685e+00        7.1357e+01        8.1564e+02        1.5593e-03        4.5020e-03
        mass_fit_mc_mode401_momentum_costheta_105.cpp.sh.out        -1.6641e-01        -1.0307e+00        7.6604e-01        1.9684e+00        1.9680e+00        5.3959e+01        8.3506e+02        3.4414e-03        7.2250e-03
        mass_fit_mc_mode401_momentum_costheta_106.cpp.sh.out        -1.5794e-01        -4.6744e-01        3.6188e-01        1.9682e+00        1.9682e+00        5.5778e+01        8.3222e+02        2.3201e-03        5.4871e-03
        mass_fit_mc_mode401_momentum_costheta_107.cpp.sh.out        1.3768e-01        -7.9360e-01        2.0342e-01        1.9691e+00        1.9679e+00        6.9975e+01        7.5704e+02        1.6852e-03        4.5291e-03
        mass_fit_mc_mode401_momentum_costheta_108.cpp.sh.out        -7.1045e-03        -1.0602e+00        7.8065e-01        1.9686e+00        1.9674e+00        8.4641e+01        7.6939e+02        3.3422e-03        7.6099e-03
        mass_fit_mc_mode401_momentum_costheta_109.cpp.sh.out        -3.6531e-03        -9.4151e-01        3.7253e-01        1.9690e+00        1.9679e+00        8.5719e+01        7.4824e+02        2.4278e-03        5.2569e-03
        mass_fit_mc_mode401_momentum_costheta_110.cpp.sh.out        -1.6566e-01        -8.5980e-01        7.8905e-02        1.9669e+00        1.9690e+00        8.6287e+01        7.0775e+02        9.2005e-04        4.4612e-03
        mass_fit_mc_mode401_momentum_costheta_111.cpp.sh.out        7.8521e-01        8.1584e-01        7.5039e-01        1.9688e+00        1.9697e+00        1.4186e+01        8.2184e+02        3.7992e-03        1.0193e-02
        mass_fit_mc_mode401_momentum_costheta_112.cpp.sh.out        8.5400e-01        8.6766e-01        7.4709e-01        1.9687e+00        1.9681e+00        1.7204e+01        7.6480e+02        3.8342e-03        8.3840e-03
        mass_fit_mc_mode401_momentum_costheta_113.cpp.sh.out        2.9603e-01        -6.0706e-01        4.9565e-01        1.9684e+00        1.9688e+00        4.4030e+01        7.3299e+02        3.3379e-03        6.5980e-03
        mass_fit_mc_mode401_momentum_costheta_114.cpp.sh.out        -2.0659e-02        -1.2672e-01        1.3130e-01        1.9691e+00        1.9686e+00        2.9956e+01        7.6801e+02        1.1792e-02        4.3605e-03
